producto,marca,descripcion,url_producto,imagen,mpn,sku,precio_bajo,precio_alto
Vino tinto malbec Cafayate reserva 750 cc.,Cafayate,,https://www.carrefour.com.ar/vino-tinto-malbec-cafayate-reserva-750-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/227569/7790093095221_01.jpg?v=1771453900,474859,17984,1410.0,1410.0
Vino espumante Cinzano demi sec to spritz 750 cc.,Cinzano,,https://www.carrefour.com.ar/vino-espumante-cinzano-demi-sec-to-spritz-750-cc-708306/p,https://carrefourar.vtexassets.com/arquivos/ids/259657/7791200200729_01.jpg?v=1771416638,708306,106585,1920.0,1920.0
Agua saborizada pomelo sin gas Villa del Sur Levité 2.5 l.,Levité,,https://www.carrefour.com.ar/agua-saborizada-pomelo-sin-gas-villa-del-sur-levite-25-l/p,https://carrefourar.vtexassets.com/arquivos/ids/268837/7790315101082_01.jpg?v=1771434688,671559,31243,463.0,463.0
Vino tinto malbec El Enemigo 750 cc.,El Enemigo,,https://www.carrefour.com.ar/vino-tinto-malbec-el-enemigo-750-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/196222/7794450000972_02.jpg?v=1771428498,672144,32281,7150.0,7150.0
Cerveza Budweiser lata 6 uni x 473 cc.,Budweiser,,https://www.carrefour.com.ar/cerveza-budweiser-lata-6-uni-x-473-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/277313/7793147118846_01.jpg?v=1771417530,606132,10545,2850.0,2850.0
Vino tinto malbec Alambrado 750 cc.,Alambrado,,https://www.carrefour.com.ar/vino-tinto-malbec-alambrado-750-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/300105/7791728002690_01.jpg?v=1771438340,552029,22534,1945.0,1945.0
Vino tinto Mosquita Muerta blend de tintas pispi 750 cc.,Mosquita Muerta,,https://www.carrefour.com.ar/vino-tinto-mosquita-muerta-blend-de-tintas-pispi-750-cc-699516-699516/p,https://carrefourar.vtexassets.com/arquivos/ids/299989/7798159944322_01.jpg?v=1771444340,699516,94414,2700.0,2700.0
Vino tinto malbec Norton reserva 750 cc.,Norton,"&lt;style&gt;
#richContentObject{
    height: 5000px;
}
@media screen and (max-width: 630px){
    #richContentObject{
        height: 2400px !important;
    }
}

@media screen and (max-width: 500px){
    #richContentObject{
        height: 1900px !important;
    }
}
&lt;/style&gt;

&lt;object data=&quot;https://bits0.com/norton/richcontent/reserva/index.html&quot; width=&quot;100%&quot; height=&quot;5000px&quot; id=&quot;richContentObject&quot;&gt;&lt;/object&gt;",https://www.carrefour.com.ar/vino-tinto-malbec-norton-reserva-750-cc-383123/p,https://carrefourar.vtexassets.com/arquivos/ids/269710/7792319678010_02.jpg?v=1771443267,383123,10735,2030.0,2030.0
Vino tinto Las Perdices malbec reserva 750 cc.,Las Perdices,,https://www.carrefour.com.ar/vino-tinto-las-perdices-malbec-reserva-750-cc-696820/p,https://carrefourar.vtexassets.com/arquivos/ids/299804/7798123970296_01.jpg?v=1771438070,696820,89958,2940.0,2940.0
Vino blanco chardonnay Elegido 750 cc.,Elegido,,https://www.carrefour.com.ar/vino-blanco-chardonnay-elegido-750-cc-586176/p,https://carrefourar.vtexassets.com/arquivos/ids/272439/7792319003188_01.jpg?v=1771438071,586176,33208,781.0,781.0
Licor Cusenier huevo 700 cc.,Cusenier,,https://www.carrefour.com.ar/licor-cusenier-huevo-700-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/177362/7792410008051_01.jpg?v=1771435099,6759,18807,985.0,985.0
Vino tinto malbec Novecento 750 cc.,Novecento,"&lt;p&gt;&lt;strong&gt;Vino tinto malbec Novecento 750 cc.&lt;/strong&gt;&lt;/p&gt;
&lt;p&gt;De color rojo atractivo con tonos vivos. Sus aromas nos recuerdan a frutos negros y frutas rojas maduras como la ciruela y la mora. Se presenta aterciopelado y frutado.&lt;/p&gt;",https://www.carrefour.com.ar/vino-tinto-malbec-novecento-750-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/273585/7790717152002_01.jpg?v=1771428626,351684,35162,973.0,973.0
Jugo de naranja Arcor 200 cc.,Arcor,,https://www.carrefour.com.ar/jugo-de-naranja-arcor-200-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/178089/7790580005405_01.jpg?v=1771420762,651116,11396,101.0,101.0
Vino tinto malbec Trapiche Impuro 750 cc.,Trapiche,,https://www.carrefour.com.ar/vino-tinto-malbec-trapiche-impuro-750-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/185297/7790240096774_01.jpg?v=1771444340,620972,12664,2165.0,2165.0
Vino tinto Canciller blend III edición especial 1.25 l.,Canciller,,https://www.carrefour.com.ar/vino-tinto-canciller-blend-iii-edicion-especial-125-l/p,https://carrefourar.vtexassets.com/arquivos/ids/300015/7790314073250_01.jpg?v=1771448777,681435,56267,822.0,822.0
Vino tinto Toro bonarda sirah viejo 1.125 cc.,Toro,,https://www.carrefour.com.ar/vino-tinto-toro-bonarda-sirah-viejo-1125-cc-703545/p,https://carrefourar.vtexassets.com/arquivos/ids/299899/7790314006760_01.jpg?v=1771454806,703545,98754,751.0,751.0
Espumante Dadá maracuya 750 cc.,Dadá,,https://www.carrefour.com.ar/espumante-dada-maracuya-750-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/271079/7791540048937_02.jpg?v=1771456460,607375,114215,1845.0,1845.0
Agua saborizada manzana sin gas Villa del Sur Levité 2.5 l.,Levité,,https://www.carrefour.com.ar/agua-saborizada-manzana-sin-gas-villa-del-sur-levite-25-l/p,https://carrefourar.vtexassets.com/arquivos/ids/268838/7790315101099_01.jpg?v=1771434684,671557,30942,463.0,463.0
