fecha_relevamiento|producto|marca|rubro|url_producto|mpn|sku|precio_bajo|precio_alto
20230527-190544|Toallitas Carrefour con alas 8 u.|Carrefour|Perfumeria|https://www.carrefour.com.ar/toallitas-carrefour-con-alas-8-u/p|565673|13550|195.0|195.0
20230527-190544|Quitaesmalte Crinfil fortalecedor 100 cc.|Genérico|Perfumeria|https://www.carrefour.com.ar/quitaesmalte-crinfil-fortalecedor-100-cc-712088/p|712088|117065|225.15|225.15
20230527-190544|Jabón Next AB cremoso 90 g. x 1 uni|Next|Perfumeria|https://www.carrefour.com.ar/jabon-next-ab-cremoso-90-g-x-1-uni-691091/p|691091|84359|198.0|198.0
20230527-190544|Enjuague Bucal LISTERINE® ANTISARRO Frescura Suave Sin Alcohol 250 ml.|Listerine|Perfumeria|https://www.carrefour.com.ar/enjuague-bucal-listerine-antisarro-frescura-suave-sin-alcohol-250-ml-697103/p|697103|90242|928.51|928.51
20230527-190544|Crema multipropósito hidratante Nivea men creme para todo tipo de piel 150 ml.|Nivea|Perfumeria|https://www.carrefour.com.ar/crema-multiproposito-hidratante-nivea-men-creme-para-todo-tipo-de-piel-150-ml/p|634564|8518|601.0|601.0
20230527-190544|Crema para peinar Elvive dream long liss 250 cc.|Elvive|Perfumeria|https://www.carrefour.com.ar/crema-para-peinar-elvive-dream-long-liss-250-cc-39987/p|659570|9781|847.0|847.0
20230527-190544|Crema hidratante intensiva Nivea creme en lata para todo tipo de piel 60 ml.|Nivea|Perfumeria|https://www.carrefour.com.ar/crema-hidratante-intensiva-nivea-creme-en-lata-para-todo-tipo-de-piel-60-ml/p|617987|9234|455.0|455.0
20230527-190544|Shampoo Carrefour algas hidratante 950 cc.|Carrefour|Perfumeria|https://www.carrefour.com.ar/shampoo-carrefour-algas-hidratante-950-cc/p|552404|14670|376.82|376.82
20230527-190544|Crema dental Colgate máxima protección 70 g.|Colgate|Perfumeria|https://www.carrefour.com.ar/crema-dental-colgate-maxima-proteccion-70-g-713781/p|713781|119422|272.4|272.4
20230527-190544|Crema para peinar Fructis aloe secado natural 250 cc.|Fructis|Perfumeria|https://www.carrefour.com.ar/crema-para-peinar-fructis-aloe-secado-natural-250-cc-710027/p|710027|109661|811.0|811.0
20230527-190544|Crema corporal hidratante Nivea milk nutritiva 5 en 1 para piel extra seca x 125 ml.|Nivea|Perfumeria|https://www.carrefour.com.ar/crema-corporal-hidratante-nivea-milk-nutritiva-5-en-1-para-piel-extra-seca-x-125-ml-456086/p|456086|3594|439.0|439.0
20230527-190544|Crema corporal hidratante Nivea milk nutritiva 5 en 1 para piel extra seca x 250 ml.|Nivea|Perfumeria|https://www.carrefour.com.ar/crema-corporal-hidratante-nivea-milk-nutritiva-5-en-1-para-piel-extra-seca-x-250-ml-456088/p|456088|3596|736.0|736.0
20230527-190544|Pasta Dental Colgate Total 12 gel Blanqueador Tubo Reciclable 90 g.|Colgate|Perfumeria|https://www.carrefour.com.ar/pasta-dental-colgate-total-12-gel-blanqueador-tubo-reciclable-90-g-699298/p|699298|93829|834.0|834.0
20230527-190544|Talco corporal masculino Polyana 100 g.|Polyana|Perfumeria|https://www.carrefour.com.ar/talco-corporal-masculino-polyana-100-g/p|628920|17834|294.3|294.3
20230527-190544|Antitranspirante en aerosol Dove invisible dry 150 cc.|Dove|Perfumeria|https://www.carrefour.com.ar/antitranspirante-en-aerosol-dove-invisible-dry-150-cc-717763/p|717763|137635|637.0|637.0
20230527-190544|Pasta Dental Colgate Natural Extracts Reinforced Defense 70 g.|Colgate|Perfumeria|https://www.carrefour.com.ar/pasta-dental-colgate-natural-extracts-reinforced-defense-70-g-689493/p|689493|82734|489.5|489.5
20230527-190544|Shampoo Elvive reparación total 5 400 cc.|Elvive|Perfumeria|https://www.carrefour.com.ar/shampoo-elvive-reparacion-total-5-400-cc-698593/p|698593|93132|1080.0|1080.0
